year,num_countries,num_trade_flows,density,reciprocity,avg_clustering,avg_degree,total_trade_volume,top_importer,top_exporter
2014,227,3042,0.05929593388172001,0.21301775147928995,0.4133509356177989,26.801762114537446,13242038951,VNM,CHN
2015,225,2844,0.056428571428571425,0.21026722925457103,0.36374401809916385,25.28,9801489708,FRA,JPN
2016,226,2653,0.052173058013765976,0.183942706370147,0.40485948963304397,23.47787610619469,12479060138,GBR,CHN
2017,229,2260,0.04328506856661304,0.2168141592920354,0.41718054972758883,19.737991266375545,10123761658,CHN,USA
2018,227,2619,0.05105064130053409,0.20465826651393662,0.4065480228262454,23.07488986784141,22502712762,USA,KOR
2019,231,3375,0.06352343308865048,0.2162962962962963,0.42940350586069953,29.22077922077922,26848498986,IND,SAU
2020,230,5261,0.09988608315929372,0.32465310777418743,0.5744503461617368,45.74782608695652,22053806900,USA,CHN
2021,229,5252,0.10058990270435915,0.31645087585681647,0.56652620794068,45.86899563318777,28224180494,USA,CHN
2022,231,5282,0.09941652550348203,0.3169254070427868,0.5768036104609214,45.731601731601735,36878500542,USA,DEU
2023,231,5262,0.09904009034443817,0.3257316609654124,0.5755869495229518,45.55844155844156,30031176157,FRA,CHN
